Zenodo doi,,Ebola epidemic
doi.org/10.5281/zenodo.572234,,zaire 1976
doi.org/10.5281/zenodo.572235,,"Wagner, Mike. (2017). 1976, Sudan Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572235"
doi.org/10.5281/zenodo.572236,,"Wagner, Mike. (2017). 1979, Yambio, West Equatoria, Sudan Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572236"
doi.org/10.5281/zenodo.572237,,"Wagner, Mike. (2017). 1989, Virginia, United States of America Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572237"
doi.org/10.5281/zenodo.572238,,"Dato, Virginia. (2017). 1994 - 1995, Gabon Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572238"
doi.org/10.5281/zenodo.572239,,"Dato, Virgina. (2017). 1995, Kwilu, Bandundu, Zaire Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572239"
doi.org/10.5281/zenodo.572240,,"Dato, Virginia. (2017). 1996 - 1997, Gabon Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572240"
doi.org/10.5281/zenodo.572241,,"Dato, Virginia. (2017). 1996, Gabon Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572241"
doi.org/10.5281/zenodo.572242,,"Dato, Virginia. (2017). 2000 - 2001, Uganda Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572242"
doi.org/10.5281/zenodo.572243,,"Dato, Virginia. (2017). 2001 - 2002, Gabon and Congo Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572243"
doi.org/10.5281/zenodo.572244,,"Dato, Virginia. (2017). 2002 - 2003, Cuvette-Ouest, Congo Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572244"
doi.org/10.5281/zenodo.572245,,"Hogan, William. (2017). 2003, Mbomo, Cuvette-Ouest, Congo Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572245"
doi.org/10.5281/zenodo.572246,,"Dato, Virginia. (2017). 2004, Yambio, West Equatoria, Sudan Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572246"
doi.org/10.5281/zenodo.572247,,"Dato, Virginia. (2017). 2005, Cuvette-Ouest, Congo Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572247"
doi.org/10.5281/zenodo.572248,,"Dato, Virginia. (2017). 2007, Bundibugyo, Uganda Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572248"
doi.org/10.5281/zenodo.572249,,"Dato, Virginia. (2017). 2007, Kasai-Occidental, Democratic Republic of the Congo Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572249"
doi.org/10.5281/zenodo.572250,,"Dato, Virginia. (2017). 2008 - 2009, Kasai-Occidental, Democratic Republic of the Congo Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572250"
doi.org/10.5281/zenodo.572251,,"Dato, Virginia. (2017). 2012, Kibaale, Uganda Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572251"
doi.org/10.5281/zenodo.572252,,"Dato, Virginia. (2017). 2012, Orientale, Democratic Republic of the Congo Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572252"
doi.org/10.5281/zenodo.572253,,"Dato, Virginia. (2017). 2012, Uganda Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572253"
doi.org/10.5281/zenodo.572254,,"Wagner, Mike. (2017). 2013 - 2015, Guinea Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572254"
doi.org/10.5281/zenodo.572255,,"Wagner, Mike. (2017). 2014 - 2016, Liberia Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572255"
doi.org/10.5281/zenodo.572256,,"Wagner, Mike. (2017). 2014 - 2017, Sierra Leone Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572256"
doi.org/10.5281/zenodo.572257,,"Dato, Virginia. (2017). 2014, Dallas, Texas, United States of America Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572257"
doi.org/10.5281/zenodo.572258,,"Dato, Virginia. (2017). 2014, Democratic Republic of the Congo Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572258"
doi.org/10.5281/zenodo.572258,,"Dato, Virginia. (2017). 2014, Mali Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572259"
doi.org/10.5281/zenodo.572260,,"Wagner, Mike. (2017). 2014, Nigeria Ebola epidemic data and knowledge [Data set]. Zenodo. http://doi.org/10.5281/zenodo.572260"
